sy	wilcox_p	wilcox_p2	log2foldchange	lab	show
RP11-385N23.1	0.872600060989729	0.87	0.217657202716039	no	no
ITIH5	0.149092623625566	0.15	0.973874431080691	no	no
ITIH2	0.987463172778485	0.99	-0.572168947464226	no	no
KIN	0.0148813162522627	0.015	0.545531799864174	no	no
ATP5F1C	0.248659162427515	0.25	0.314539587077327	no	no
TAF3	0.115892724893348	0.12	0.211533569652224	no	no
RP11-401E9.3	0.562114663310668	0.56	0.212430930244221	no	no
GATA3	0.911165370116678	0.91	-0.369357060572333	no	no
GATA3-AS1	0.213954526479435	0.21	-0.0872032846013242	no	no
PRPF38AP1	0.116852607664543	0.12	0.673989744871367	no	no
LINC00708	0.117940144029158	0.12	0.300144798174615	no	no
RP5-1119O21.2	0.288175633383966	0.29	0.177012037864998	no	no
RP11-543F8.2	0.401735637055398	0.4	-0.214234398834583	no	no
KRT8P37	0.765084001834143	0.77	-0.00436007588223454	no	no
LINC00709	0.288175633383966	0.29	0.352109825620687	no	no
RP4-660B20.2	0.0443785858134331	0.044	0.678682579144365	no	no
HSP90AB7P	0.710043587772601	0.71	0.0677210239832493	no	no
LINC02663	0.41190396250109	0.41	1.73126977106236	no	no
ELOCP3	0.269887500308229	0.27	0.508358955914693	no	no
RP11-26K22.2	0.79292349339057	0.79	0.0547609997143401	no	no
CELF2-DT	0.414090126593677	0.41	-0.0962147827309641	no	no
RP1-186E20.1	0.0840411237938828	0.084	-1.12462820330729	no	no
SFTA1P	0.101078906134703	0.1	-0.872756120686677	no	no
CELF2	0.00913960329281132	0.0091	0.864718221592825	no	no
LINC00710	0.978883036138194	0.98	0.855744423925755	no	no
RP1-251M9.2	0.117940144029158	0.12	0.688128926975307	no	no
RP1-251M9.3	0.572808603034677	0.57	-0.383473725741551	no	no
RP11-397O4.1	0.177496250793734	0.18	1.51428585167654	no	no
CELF2-AS2	0.543861988508074	0.54	0.0388728113788845	no	no
RP3-323N1.2	0.759462865379934	0.76	-0.0404555172290408	no	no
CELF2-AS1	0.0134042415754107	0.013	1.72074796208607	up	no
RP11-544P1.3	0.118651405915017	0.12	-0.144231690721989	no	no
USP6NL	0.0493699863064517	0.049	0.498732634840224	no	no
USP6NL-AS1	0.118651405915017	0.12	-0.368624272123425	no	no
RP11-138I18.2	0.405273648277213	0.41	0.601506836771655	no	no
ECHDC3	0.101574807936807	0.1	1.4502289988279	no	no
PROSER2	0.421639375952352	0.42	0.532405575705504	no	no
PROSER2-AS1	0.0603225323294961	0.06	1.43828554451059	no	no
UPF2	0.00217992375348233	0.0022	0.452671048426688	no	no
RNU6-1095P	0.138932812076043	0.14	-0.155510176099388	no	no
DHTKD1	0.0196294611948265	0.02	0.573892270244779	no	no
RNU6-88P	0.0118102766084949	0.012	1.57592381809404	up	no
SEC61A2	0.00116999639174036	0.0012	1.03115718216758	up	no
MIR548AK	0.872600060989729	0.87	0.389094555149536	no	no
NUDT5	0.00150838709737628	0.0015	0.687408475934713	no	no
