count	HOX	int	gene	CPM	SID	Group
12902	HOXA	9	HOXA9	126.389956451793	SP07	others
452	HOXA	9	HOXA9	6.52905838324452	SP08	others
9766	HOXA	9	HOXA9	86.6980379335609	SP09	others
193	HOXA	9	HOXA9	3.2848923477803	SP11	groupB
16	HOXA	9	HOXA9	0.194081614594064	SP12	others
55	HOXA	9	HOXA9	0.577714179732995	SP13	groupB
3812	HOXA	9	HOXA9	44.1398123228907	SP15	groupA
9	HOXA	9	HOXA9	0.109268671338849	SP16	others
139	HOXA	9	HOXA9	1.22094027104856	SP17	others
25	HOXA	9	HOXA9	2.6910013560494	SP18B5	others
167	HOXA	9	HOXA9	3.00925668981187	SP18T5	others
6	HOXA	9	HOXA9	0.515769036562351	SP19T5	others
4	HOXA	9	HOXA9	0.0656866373640767	SP204	others
11	HOXA	9	HOXA9	1.17901878198356	SP20B5	others
0	HOXA	9	HOXA9	0	SP20T5	groupB
39	HOXA	9	HOXA9	1.02633882807948	SP21B5	others
11	HOXA	9	HOXA9	0.222829177390236	SP21T5	groupB
2490	HOXA	9	HOXA9	21.8496533600757	SP22	groupB
135	HOXA	9	HOXA9	0.844265149487589	SP24	groupA
41	HOXA	9	HOXA9	0.632992905631658	SP26	others
22	HOXA	9	HOXA9	0.159905168675822	SP28	others
443	HOXA	9	HOXA9	6.00239803253587	SP31	others
4	HOXA	9	HOXA9	0.0386863859686954	SP41	groupA
1715	HOXA	9	HOXA9	33.2410769077766	X172017	groupA
276	HOXA	9	HOXA9	5.202447495194	X177793	groupB
397	HOXA	9	HOXA9	8.56739348016177	X747347	groupB
698	HOXA	10	HOXA10	8.63925068535993	SP04	groupA
1073	HOXA	10	HOXA10	15.6209264394414	SP05	groupB
5849	HOXA	10	HOXA10	57.2976945656903	SP07	others
1448	HOXA	10	HOXA10	20.9160985374736	SP08	others
2023	HOXA	10	HOXA10	17.9592597521599	SP09	others
278	HOXA	10	HOXA10	4.73160659421204	SP11	groupB
1630	HOXA	10	HOXA10	19.7720644867703	SP12	others
533	HOXA	10	HOXA10	5.59857559632157	SP13	groupB
2103	HOXA	10	HOXA10	24.3510034929274	SP15	groupA
5	HOXA	10	HOXA10	0.0607048174104719	SP16	others
73	HOXA	10	HOXA10	0.641213235874426	SP17	others
26	HOXA	10	HOXA10	2.79864141029138	SP18B5	others
377	HOXA	10	HOXA10	6.79335192849747	SP18T5	others
6	HOXA	10	HOXA10	0.515769036562351	SP19T5	others
3	HOXA	10	HOXA10	0.0492649780230575	SP204	others
8	HOXA	10	HOXA10	0.857468205078956	SP20B5	others
0	HOXA	10	HOXA10	0	SP20T5	groupB
78	HOXA	10	HOXA10	2.05267765615897	SP21B5	others
25	HOXA	10	HOXA10	0.506429948614174	SP21T5	groupB
