,P149774,P149985,P153403,P153537,P154325,P155534,P157632,P158276,P158665,P158785,P160100,P160971,P161515,P161809,P161865,P165970,P164921,P164398,P165114,P169026,P170008,P170055,P172017,P172390,P172496,P174092,P176973,P177793,P186330,P182545,P179186,P179980,P181568,P170561,P184521,P184022
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_CHRNA7_E2F_SIGNALING_PATHWAY,0.524622307727905,0.469995019533126,0.531949953647182,0.536515495862672,0.550740886555713,0.485457093331704,0.490077988385162,0.491977083963218,0.449610259014965,0.571734837440081,0.513182408268422,0.555473734489487,0.493428863196336,0.439347414685332,0.518440641656125,0.536409891217465,0.496930251573133,0.500185811875888,0.544360525821463,0.460305267175443,0.573192291175873,0.549715525113339,0.541068462376149,0.492751902442263,0.510404895566038,0.601784839142215,0.505533234178094,0.487787321581121,0.533424280062643,0.576807762110754,0.629005557209114,0.524969265264522,0.497125187828928,0.523278626131666,0.558058890690303,0.532883917341934
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339,0.563528976375669,0.548251573732992,0.557963230479891,0.527926966849843,0.571285294662288,0.545035604860867,0.535012524397314,0.552491643865622,0.51025877802317,0.560776024229912,0.543197262149094,0.55360442678036,0.528790983077825,0.518840735004187,0.550645634627637,0.548969720415333,0.554492834056977,0.544530878633593,0.536825171432952,0.527262402411138,0.57041010822917,0.57816232588197,0.552116104498631,0.540418635859101,0.538649610222368,0.577104050588387,0.560357270392056,0.519674549541091,0.571254223372335,0.577986770266938,0.607691962774978,0.568708538540006,0.562546694249979,0.550331075919199,0.562760613011249,0.561929262199403
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350,0.527656912801756,0.529022622934584,0.576534542245946,0.495683278847836,0.537306546214581,0.541564215289218,0.527553815476369,0.534320325484771,0.513320215462782,0.508828290605909,0.538980700780409,0.49420506669615,0.531312679838202,0.545733531115275,0.524308929904395,0.484697410981534,0.602452741706163,0.526481790970515,0.477591412580163,0.534462128859979,0.530493699062929,0.523429771899341,0.501233309787107,0.516354395133124,0.501611791685971,0.507998050701046,0.517988498571539,0.516765734740924,0.568309626276436,0.550191045799004,0.5248564687139,0.51306770153316,0.540664393424069,0.513001485219232,0.488482512536881,0.517230545350638
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY,0.5666186941057,0.518891698678587,0.556423427705301,0.546729348651071,0.555323503670101,0.516299323559551,0.531837333701641,0.554795291385702,0.522751330016221,0.570756800835504,0.583081522418408,0.529129756744746,0.530784388655779,0.548203136756913,0.548161816221605,0.59927521977028,0.556901728919414,0.569307377453236,0.573635673794249,0.530222102399834,0.566100924098731,0.585254253521756,0.578542505953047,0.550923462347406,0.544104456246805,0.613747123095841,0.562598966577558,0.543294455372044,0.501987849080689,0.58498092510003,0.620833126233847,0.567014344375335,0.54665099302863,0.523100461264612,0.590342091417977,0.569882983326448
KEGG_MEDICUS_ENV_FACTOR_NNK_TO_DNA_ADDUCTS,0.404037706563779,0.251490362771206,0.201658901345955,0.163401714289965,0.167783936000942,0.211102283826303,0.018454765417353,0.208260906129459,0.250031804481017,0.140613011071008,0.199886934143365,0.107342133914539,0.326818878841011,0.177871766911796,0.24358493313717,0.0633772816693669,0.245600743078128,0.0842323534385959,0.209251537987286,0.25350108688293,0.128768460294975,0.0550595529950921,0.189014362884584,0.346052802607794,0.301510701754652,0.075146947892829,0.14074775258991,0.33088614594219,0.246043640866326,0.232728883245489,0.356827685273277,0.16346909385534,0.271268895507608,0.39431037081487,0.15231064564739,0.341355001949935
KEGG_MEDICUS_ENV_FACTOR_PARAQUAT_TO_FAS_JNK_SIGNALING_PATHWAY,0.615110007205776,0.620711054390948,0.614932927413336,0.637778706629736,0.572513914810442,0.579948947544922,0.658922071211214,0.625781072931393,0.622552393929113,0.566282002677592,0.604092483213426,0.586717427515313,0.61378966059401,0.612053768491844,0.631944915919213,0.580794359599226,0.630225223845322,0.62506361004134,0.607230632408505,0.644970769326985,0.594951315489098,0.620086347727244,0.539431334638703,0.628105642520852,0.633795534715013,0.545833685872462,0.616861899259079,0.643057719016171,0.565112778972692,0.572708329655922,0.651939139556074,0.622191634266061,0.641813538986787,0.66457541499153,0.605229340167815,0.652842171521671
KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS,-0.00569749948454722,0.0171793189279493,-0.094305079382,-0.0877193405146597,-0.0483838001550325,-0.064622457540357,0.0759936283160261,0.0396698183053635,0.0139562630371519,-0.0985977028185869,0.0750116499543639,-0.0788963191802228,0.115281413571842,0.0614539186797619,-0.131687328423551,-0.0213022934755364,0.0163280391901939,0.122912957193991,0.0388459137571974,0.0910134463922165,0.00373231006791524,-0.166962033680152,-0.0146903738329858,-0.00741290598388808,-0.0583553461328592,0.117273937553192,-0.0498411727032335,0.0831000013494347,-0.102199034707533,0.0383964895556667,-0.0890694567687014,-0.00208382794546515,-0.0243328596745764,0.0232217598860777,0.00265740882761664,0.0662583218375016
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY,0.378689121905644,0.441125727997695,0.422883987467844,0.433099506306004,0.376147417424593,0.428319652897958,0.435187404119552,0.416487244502041,0.492354832239384,0.395932286918383,0.455414877239242,0.388055558985876,0.3872159445069,0.439753518195849,0.451812657240686,0.391222708561105,0.386285300486021,0.476606309642683,0.448143794898978,0.404615230767309,0.390899895104855,0.465324500126987,0.376010820811135,0.445175997651903,0.46070305597568,0.331591807737686,0.392543687116466,0.463501644100574,0.454137595604957,0.366584626492983,0.353861560747808,0.444496230494984,0.384549689423791,0.392901033191916,0.434520527895217,0.435036947779266
KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT,0.532316118890251,0.525718873413553,0.532790182473847,0.535836917425333,0.555213176163863,0.522757820483209,0.537422305069002,0.510333782583501,0.513800377497449,0.554264039515533,0.547724093909767,0.517969550555836,0.527347888039377,0.510415774809554,0.535059101335353,0.530644495330542,0.493434732400342,0.498836180139087,0.517497533722509,0.519253144420205,0.524810467016951,0.563005144533992,0.513329009797489,0.524500216050868,0.523498410841052,0.524317563149462,0.513709515285149,0.509463824170035,0.492232359992259,0.525243218522798,0.579293335911253,0.527323566728853,0.525606547851495,0.504508833887472,0.533425640333678,0.509875510804245
KEGG_MEDICUS_PATHOGEN_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_II,0.590866812901425,0.62904935050014,0.579265550931518,0.605557873403693,0.59678618069216,0.575138222939171,0.645365316271956,0.612486724150023,0.617220942698203,0.573819948599015,0.635596088795923,0.613947900320108,0.567651564799058,0.619902154871891,0.558319190858033,0.528665559120829,0.621035151438463,0.601689275660109,0.589140974269283,0.582356775923027,0.599670998705437,0.554794024664345,0.599123710018294,0.555174989438063,0.618590171328264,0.588541477738294,0.601166298841898,0.552768983234077,0.578637191474886,0.572019907437771,0.592998111801584,0.614753631958274,0.578958807021452,0.632042225067482,0.632953521846194,0.610797341695616
