,P149774,P149985,P153403,P153537,P154325,P155534,P157632,P158276,P158665,P158785,P160100,P160971,P161515,P161809,P161865,P165970,P164921,P164398,P165114,P169026,P170008,P170055,P172017,P172390,P172496,P174092,P176973,P177793,P186330,P182545,P179186,P179980,P181568,P170561,P184521,P184022
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,0.389267914683629,0.375634851356628,0.36600497572729,0.368479291214415,0.395935202213878,0.381448727205785,0.352313484802414,0.374036246299539,0.362176842919882,0.38533972409912,0.372867408807696,0.363457531995951,0.365627943525002,0.365938303625937,0.37597129022296,0.399575413677231,0.370603465484162,0.360876567885064,0.367717928195502,0.353162681287207,0.39093664961576,0.37127399816427,0.364862272188356,0.383667780047129,0.360826213057939,0.391711829036294,0.387048292914749,0.355959623239804,0.386114898604975,0.380056326256797,0.376280222471463,0.385981284641299,0.379927194983728,0.35912285505655,0.370844474014561,0.370339686798939
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,-0.0667883350662728,-0.0608814769490302,-0.0452017383030957,-0.0563677179404189,-0.0519298562904757,-0.0629525037731767,-0.0614704558821665,-0.04232881879091,-0.0349652972790251,-0.0407399203522393,-0.0296730996001367,-0.0613956312426682,-0.0515374680422664,-0.023427610411164,-0.032601881922969,-0.0751434231013419,-0.0333127180521208,-0.0576342360682399,-0.0469120925374312,-0.0747186920057892,-0.0756210426245377,-0.0228831721772923,-0.0495208006154034,-0.0456277576057438,-0.0498804875520919,-0.0520301440624751,-0.0672950171262236,-0.0494360081172592,-0.0524922547312534,-0.0575703842352402,-0.0803594649653415,-0.0722184855391558,-0.0558088668529713,-0.0429338285032339,-0.0742676033813124,-0.0927207041146836
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,0.404411379861029,0.396951538656502,0.411436985500429,0.404887911084209,0.407930191232987,0.409224767482673,0.408291605093283,0.405975897686458,0.395827577936977,0.410379650703399,0.406774255357156,0.414852648622006,0.410933562570063,0.405109657554933,0.401678071006531,0.408535661280342,0.4035099916726,0.404952369436395,0.399451942450211,0.404315867864148,0.412694349944623,0.403169981862845,0.406530367077854,0.401164271924948,0.40645403881496,0.416232067144377,0.404514192047704,0.404591620117974,0.403918745541439,0.411361167939727,0.406430501737302,0.41092184556237,0.403648721041791,0.408350599609751,0.412953998758716,0.403717272791009
REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT,0.201063764852779,0.251617182954057,0.24780241475286,0.257263869626871,0.234991501003881,0.234317844932153,0.195924709456258,0.227750289599899,0.231412382132597,0.222719914939367,0.225117578867028,0.218903001211416,0.21047629620831,0.229714392425006,0.269726040923458,0.230694678009409,0.219880595994998,0.222927278464314,0.243835220017932,0.203097777216413,0.246197303212808,0.262555652288682,0.23565594917201,0.219805213001922,0.247810361217883,0.169085933984109,0.23841835013297,0.214926739577183,0.220809536883197,0.208444946996198,0.221030589810189,0.237823376752345,0.215098593898899,0.204471015151093,0.231017432755111,0.217386363773775
REACTOME_FORMATION_OF_THE_POSTERIOR_NEURAL_PLATE,0.230556982076833,0.167650739020062,0.223784258985175,0.229297277387147,0.252602665459938,0.247397676966086,0.283917898135502,0.249972562879539,0.190893423739955,0.228534984809691,0.226638748586399,0.290575091896736,0.221610194936701,0.219877441489356,0.240016060920952,0.282074275128156,0.226311413219834,0.197357723355506,0.249084083581279,0.272275668601777,0.248096463473778,0.232537514970186,0.242037876062872,0.255493131991309,0.240385783751617,0.270177447717372,0.291298478353445,0.249300724298589,0.190070020129985,0.260686850375574,0.253489085106585,0.251595494600091,0.221623971603257,0.233161150663942,0.239687452173809,0.236622744447038
REACTOME_FORMATION_OF_THE_URETERIC_BUD,0.169173684102896,0.180757763774405,0.232760851678044,0.193875344146323,0.216892377813067,0.243147794889783,0.131034036773126,0.193890099694168,0.159073263700919,0.221074752853837,0.190956603680282,0.159631193456705,0.180647836643697,0.251961403220524,0.226613829261725,0.214128550000394,0.205653301733215,0.17883416710533,0.185989336867748,0.154658216013841,0.230556335385583,0.235325610849178,0.206675568088456,0.218024451677063,0.214356143536436,0.184880233778232,0.2006648102889,0.15168167737642,0.235996852491273,0.174538128597611,0.197440225965465,0.198524223255871,0.182715412272963,0.173686219582658,0.182515722129813,0.213971145723639
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,0.357547359209952,0.364086610458134,0.360773484286262,0.367512887062229,0.367918906455058,0.357287156293467,0.368789518229523,0.359246829503965,0.350897789477304,0.365217641751496,0.368911931868091,0.353892123133785,0.358163788775286,0.359669056369268,0.368298346518474,0.369069957614679,0.352222156495588,0.345576334504283,0.348551935072131,0.355939155264838,0.35462395109028,0.366360031134378,0.340789842297019,0.349382357325801,0.35460125833423,0.348704470818059,0.347157213155703,0.348108851791769,0.349363475736628,0.350430613624485,0.378230114198072,0.350159932107746,0.357255822074047,0.347198189047496,0.35265098342778,0.349020656879171
REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,0.403950884285627,0.389478311092031,0.373772792568724,0.383562330453156,0.403640639626479,0.388754713416343,0.385720689435488,0.383644602363676,0.381342512723414,0.401491493366191,0.384568905644411,0.39462786640189,0.387626849315221,0.371938313656063,0.381829974558361,0.402109302843569,0.38779561666157,0.382510852159004,0.385644628247686,0.381686820335537,0.408306516908773,0.380744650398583,0.393075938182266,0.394011969679118,0.380407913433266,0.410270213291173,0.398193938005169,0.381797397494608,0.391847126186245,0.392771288358099,0.399662694618216,0.40334744645915,0.393682473978789,0.381555411293894,0.390637934531103,0.392928663832247
REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE,0.406593349042914,0.389661541053183,0.39682844842394,0.414474949781425,0.38711231508386,0.396419243995949,0.424702590970804,0.395236500569574,0.405821806385796,0.401328389998575,0.391136796872705,0.400354721602508,0.414679492073007,0.404731366044018,0.389751139183149,0.397921709018697,0.381420088943605,0.385166897861671,0.405339976450717,0.412332623267342,0.380878366433021,0.397979665817542,0.394245595642088,0.391305118201787,0.415370072349054,0.394274897731062,0.402846915042131,0.392723601735708,0.398240440324655,0.403358833381587,0.40577547414142,0.393041642059441,0.40355971564804,0.4085952601851,0.421672458592425,0.399546506649161
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS,0.278420981777845,0.386351955190101,0.29228378723153,0.183608878546599,0.279875768945018,0.321797037439026,0.207672964375599,0.29001601059689,0.346866191657501,0.285569787624388,0.35684758846745,0.310868182860365,0.193521361482963,0.319285389380563,0.386068563962335,0.172448041221462,0.369611133384172,0.26673680660459,0.242411286157527,0.197732660355455,0.20548669370175,0.321013907213604,0.196434945044081,0.295814873884286,0.264241901279546,0.132727969793057,0.25465670747519,0.189181499308702,0.36976201378807,0.278924912791549,0.222695736904125,0.256043912875396,0.273106380367174,0.231990568731917,0.208244321190575,0.242227516691644
